radius,temp,h2,h2o,o2,o2_safe,phi,dphi_dr,eta_local
0.00137489,2435.17,0.00434348,0.248452,0.00103979,0.00103979,33.150787447465355,-42.52394532938387,0.0
0.00143423,2435.17,0.0043434,0.248452,0.00103985,0.00103985,33.14826407654951,-43.47632069879296,0.001841841104376957
0.0041413,2435.31,0.004336,0.248442,0.0010455,0.0010455,32.91295648015303,-141.99859413108788,0.17221214325841674
0.00418172,2435.32,0.00433582,0.248442,0.00104564,0.00104564,32.90718365785548,-143.68762938936177,0.17635628574323994
0.00690233,2435.62,0.00431816,0.248418,0.00105907,0.00105907,32.357556875371785,-272.8753963818308,0.5829427095324613
0.00692179,2435.62,0.00431798,0.248418,0.0010592,0.0010592,32.352236858006044,-273.82382555462465,0.5870868520172845
0.00964908,2436.1,0.00428748,0.248376,0.00108235,0.00108235,31.436634434332703,-401.96483871433884,1.2892887730575597
0.00966066,2436.1,0.00428732,0.248376,0.00108247,0.00108247,31.43197642428889,-402.5493319495662,1.2929724552662936
0.0123554,2436.75,0.00424251,0.248315,0.00111644,0.00111644,30.15707011572498,-537.5737475224887,2.324633703850382
0.0124236,2436.77,0.00424117,0.248314,0.00111745,0.00111745,30.120296317508608,-540.9802554216553,2.3554845423485413
0.0150312,2437.58,0.0041811,0.248232,0.00116292,0.00116292,28.53266742338252,-670.0532350067515,3.738476981590802
0.0152138,2437.65,0.00417623,0.248226,0.0011666,0.0011666,28.40953307046117,-678.6044750833166,3.850599058819192
0.0176998,2438.54,0.00409999,0.248123,0.00122422,0.00122422,26.57816457826208,-787.4365632978006,5.605873631281826
0.0180481,2438.65,0.00408779,0.248106,0.00123342,0.00123342,26.301423229718992,-801.2511402789603,5.886754399697944
0.0203911,2439.18,0.00399468,0.247981,0.00130361,0.00130361,24.318454507099514,-883.9218181451215,8.030427215044172
0.0209391,2439.26,0.00397002,0.247948,0.00132216,0.00132216,23.829248139408243,-899.6961344464107,8.59817473546557
0.0230999,2439.56,0.00386116,0.247801,0.00140395,0.00140395,21.825681655329607,-956.7642454314828,11.104460018234228
0.0240601,2439.71,0.00380575,0.247727,0.00144548,0.00144548,20.894396325096164,-964.4884862877407,12.380165213147066
0.0254122,2439.92,0.00372305,0.247616,0.00150741,0.00150741,19.60058962060753,-964.8376253834904,14.284168454787412
0.0271234,2440.21,0.00360511,0.247458,0.00159545,0.00159545,17.93234069384813,-996.205690941094,16.99950270290183
0.028875,2440.54,0.00347061,0.247266,0.00170552,0.00170552,16.149186734837468,-1099.323954914791,20.096098059620402
0.0302017,2440.75,0.00336044,0.24707,0.00182548,0.00182548,14.609007954072355,-1235.0580122853876,22.63254349047308
0.0319382,2440.19,0.00320498,0.246698,0.00206857,0.00206857,12.295799165607159,-1261.8796452150928,26.211701216536053
0.0322639,2439.96,0.00317473,0.246622,0.00211914,0.00211914,11.889095236746984,-1233.4990696483633,26.90814738412517
0.0350023,2436.89,0.00289936,0.245903,0.00259657,0.00259657,8.86142910069823,-987.9139508680764,33.24799469549762
0.0377403,2433.06,0.00258007,0.245058,0.00316038,0.00316038,6.4787891076389545,-822.782104094109,40.59901277316806
0.0380647,2432.46,0.00254061,0.244937,0.00324481,0.00324481,6.213701560337894,-808.8411057456524,41.50750089789754
0.0398024,2428.53,0.00232865,0.244193,0.00378255,0.00378255,4.885637043793208,-743.0994067481054,46.38745890392036
0.041125,2424.12,0.00216869,0.243409,0.00438588,0.00438588,3.924121006502686,-659.5856778112357,50.07022019210403
0.0426492,2417.72,0.00197795,0.242404,0.00516829,0.00516829,3.037176938600582,-519.3717163115195,54.46162984519326
0.0443259,2409.02,0.00175533,0.241206,0.00610525,0.00610525,2.281691802956472,-407.6014911489386,59.58701317837309
0.046048,2397.99,0.00153017,0.239702,0.00733398,0.00733398,1.6557761433764477,-323.9268885421526,64.77087496661663
0.0480576,2382.24,0.00128586,0.237424,0.00929783,0.00929783,1.0975232887673791,-234.15542574057366,70.39562746921824
0.0503005,2361.42,0.00103824,0.234318,0.0120889,0.0120889,0.6815733970832747,-151.39760502655778,76.09658614751305
0.0520485,2342.18,0.000862436,0.231426,0.0147722,0.0147722,0.4633224635463912,-105.44624903523297,80.1441240664168
0.0535792,2323.05,0.0007238,0.228538,0.0175159,0.0175159,0.3279350076216466,-75.9051196460655,83.33594260823118
0.0549675,2303.88,0.000610587,0.225627,0.0203299,0.0203299,0.23834934908681302,-55.966050779622606,85.94244707009126
0.0562531,2279.44,0.000516652,0.22268,0.023218,0.023218,0.17659360289430617,-39.67722179767411,88.10511387182626
0.0574322,2250.5,0.00046122,0.219509,0.0263611,0.0263611,0.13885012082196874,-22.405611167065672,89.38132557304282
0.0585559,2221.61,0.000472171,0.215633,0.030229,0.030229,0.12395875007443184,-9.091432103843339,89.12920054886865
0.0598454,2187.71,0.000527667,0.210494,0.0353703,0.0353703,0.11839213441785905,-3.704807895450358,87.85151537476862
0.0598516,2187.54,0.000527954,0.210468,0.0353964,0.0353964,0.11836918285475358,-3.7007033000627545,87.8449077698067
0.0617363,2136.0,0.000608852,0.202737,0.0431184,0.0431184,0.11206003636498571,-3.5277507293566828,85.98239199904224
0.063245,2092.97,0.000662893,0.19644,0.0493871,0.0493871,0.10652010035009142,-3.9740526378231635,84.73820531002791
0.0645327,2057.11,0.00069736,0.191015,0.0547562,0.0547562,0.10107072733316044,-4.072620280696711,83.94467109322478
0.0656194,2033.98,0.00072414,0.186318,0.059373,0.059373,0.09679105047748976,-3.9664890333317118,83.32811478353763
0.0665,2022.9,0.00074227,0.182453,0.0631516,0.0631516,0.09327799644031187,-4.724540491420289,82.91070754326026
0.0679395,2012.35,0.000737459,0.176406,0.0690581,0.0690581,0.08474711328576952,-10.212842258721146,83.02147126267417
0.0690927,1996.87,0.000631574,0.172822,0.0726301,0.0726301,0.06900956027872741,-18.055284749673845,85.45926307937414
0.0702194,1966.5,0.000412915,0.170776,0.0747913,0.0747913,0.043813831822685265,-22.22946750112906,90.49345225487397
0.0715107,1925.6,0.000149,0.168435,0.0772566,0.0772566,0.015305669677412674,-16.48119100764651,96.56957094311474
0.0720703,1907.64,7.39e-05,0.166863,0.0788282,0.0788282,0.007439855280216978,-11.285628230216933,98.29859927984013
0.0735,1859.43,1.52e-05,0.16084,0.0846752,0.0846752,0.0014245871282264466,-1.9818234817209,99.65005019017009
0.0744563,1825.38,1.07e-05,0.156237,0.0891087,0.0891087,0.0009529394997345937,-0.42494864073123967,99.75365375229079
0.0757083,1778.96,6.38e-06,0.150037,0.0950334,0.0950334,0.0005327777391948515,-0.20839905531606862,99.85311317192665
0.0772362,1719.75,5.83e-06,0.142169,0.102467,0.102467,0.00045152956561624714,0.401091420671245,99.8657758295192
0.0790544,1642.98,3.05e-05,0.132094,0.111869,0.111869,0.0021636735824938098,0.9874861921940592,99.29779807895972
0.0812173,1543.94,6.87e-05,0.119594,0.123422,0.123422,0.0044173907407107325,0.6546105072716946,98.41831895162404
0.0838325,1420.04,8.48e-05,0.104587,0.137218,0.137218,0.004904406127475987,-0.10022408713464193,98.04764842937
0.0870624,1266.73,6.66e-05,0.0865923,0.153733,0.153733,0.0034380230659650174,-0.5206275119185887,98.4666672806137
0.0910459,1078.14,2.26e-05,0.0656057,0.172991,0.172991,0.001036779948089785,-0.4280206906102137,99.47967988801607
0.0955213,879.122,8.94e-12,0.0440192,0.192759,0.192759,3.6806499307425337e-10,-0.1175809111517069,99.99999979417427
0.100134,718.104,9.43e-13,0.0259164,0.209308,0.209308,3.575423777399812e-11,-4.0559413049033654e-08,99.9999999782893
0.105,636.075,4.92e-17,0.0135354,0.220626,0.220626,1.7697424600908324e-15,-3.907918070720553e-09,99.99999999999886
0.110529,678.381,8.28e-17,0.00641563,0.227135,0.227135,2.892996675985647e-15,5.9052344489723966e-08,99.9999999999981
0.116357,943.562,2.05e-11,0.00313454,0.230134,0.230134,7.069272684609836e-10,1.1807479735396248e-07,99.99999952802821
0.1225,2034.4,4.11e-11,0.00207964,0.231098,0.231098,1.4113908385187237e-09,1.1467744913848943e-07,99.99999905375412
